Time,pRE_-N4_None,gp60-63_-N4_None,pRE_+N4_t=20,gp60-63_+N4_t=20,pRE_+N4_t=25,gp60-63_+N4_t=25,pRE_+N4_t=30,gp60-63_+N4_t=30
0,0.2,0.201,0.219,0.208,0.217,0.204,0.219,0.204
15,0.337,0.307,0.331,0.295,0.335,0.314,0.335,0.312
20,0.366,0.326,0.363,0.377,0.365,0.357,0.374,0.363
25,0.391,0.374,0.42,0.378,0.415,0.406,0.403,0.396
30,0.44,0.421,0.467,0.414,0.465,0.393,0.449,0.444
35,0.501,0.395,0.538,0.374,0.519,0.338,0.511,0.268
40,0.552,0.334,0.572,0.247,0.588,0.191,0.571,0.193
45,0.607,0.105,0.616,0.159,0.624,0.094,0.614,0.063
50,0.662,0.056,0.692,0.125,0.683,0.072,0.69,0.056
55,0.725,0.05,0.73,0.128,0.766,0.07,0.779,0.049
60,0.816,0.061,0.813,0.126,0.86,0.075,0.792,0.059
