Time,MG1655,N4,A,B,C,D,E
0,0.223,0.239,0.237,0.231,0.228,0.235,0.231
30,0.523,0.488,0.489,0.505,0.51,0.506,0.504
35,0.62,0.558,0.441,0.505,0.55,0.503,0.51
40,0.685,0.612,0.212,0.354,0.517,0.332,0.379
45,0.772,0.683,0.11,0.222,0.428,0.176,0.244
50,0.844,0.718,0.089,0.137,0.371,0.118,0.174
55,0.888,0.789,0.067,0.111,0.354,0.098,0.136
60,0.968,0.815,0.068,0.105,0.346,0.095,0.126
70,1.39,0.859,0.051,0.091,0.331,0.108,0.111
80,1.544,0.962,0.053,0.068,0.151,0.086,0.074
93,2.01,1.224,0.048,0.07,0.125,0.064,0.084
